,Section,Correct,Incorrect,PercentCorrect,FullTime
0,capital-common-countries,0,0,,6780.429719209671
1,capital-world,0,0,,6780.429719209671
2,currency,0,0,,6780.429719209671
3,city-in-state,0,0,,6780.429719209671
4,family,304,38,0.8888888888888888,6780.429719209671
5,gram1-adjective-to-adverb,263,549,0.32389162561576357,6780.429719209671
6,gram2-opposite,191,189,0.5026315789473684,6780.429719209671
7,gram3-comparative,1222,110,0.9174174174174174,6780.429719209671
8,gram4-superlative,617,85,0.8789173789173789,6780.429719209671
9,gram5-present-participle,691,179,0.7942528735632184,6780.429719209671
10,gram6-nationality-adjective,0,0,,6780.429719209671
11,gram7-past-tense,995,487,0.6713900134952766,6780.429719209671
12,gram8-plural,889,103,0.8961693548387096,6780.429719209671
13,gram9-plural-verbs,482,220,0.6866096866096866,6780.429719209671
14,total,5654,1960,0.7425794588915157,6780.429719209671
